bird_name
Mourning Dove
White-winged Dove
Black-chinned Hummingbird
Ruby-throated Hummingbird
Downy Woodpecker
Ladder-back Woodpecker
Red-bellied Woodpecker
Barn Swallow
Blue Jay
Carolina Chickadee
Black-crested Titmouse
Bewick's Wren
Carolina Wren
Eastern Bluebird
American Robin
Northern Mockingbird
Cedar Waxwing
House Finch
Lesser Goldfinch
American Goldfinch
Pine Siskin
Chipping Sparrow
Lincoln's Sparrow
White-crowned Sparrow
White-throated Sparrow
House Sparrow
Great-tailed Grackle
European Starling
Northern Cardinal
Summer Tanager
Painted Bunting
Blue-gray Gnatcatcher
Golden-cheeked Warbler
Yellow-rumped Warbler
Orange-crowned Warbler
